Match ID,Champion ID
EUW1_6400930208,"Malphite,Nidalee,Irelia,Aphelios,Rakan,Gwen,Shaco,Tristana,Xayah,Nautilus"
EUW1_6400894991,"K'Sante,Nidalee,Syndra,Kai'Sa,Pyke,Malphite,Kha'Zix,Ahri,Xayah,Senna"
EUW1_6400866496,"Urgot,Shaco,Cassiopeia,Aphelios,Sona,Zed,Udyr,Lissandra,Xayah,Senna"
EUW1_6399804124,"K'Sante,Nidalee,Jayce,Zeri,Yuumi,Darius,Hecarim,Ahri,Jinx,Nautilus"
EUW1_6380970752,"Riven,Vi,Ahri,Zeri,Karma,Jax,Graves,Akshan,Ashe,Karthus"
EUW1_6380820334,"Kennen,Kindred,Aphelios,Kog'Maw,Sylas,Garen,Lee Sin,Zoe,Xayah,Rakan"
EUW1_6380128375,"Teemo,Master Yi,Irelia,Jinx,Alistar,Shen,Hecarim,LeBlanc,Kai'Sa,Amumu"
EUW1_6380057064,"Singed,Diana,Ahri,Xayah,Kog'Maw,Dr. Mundo,Hecarim,LeBlanc,Lucian,Nami"
EUW1_6380005671,"Poppy,Hecarim,Zed,Samira,Soraka,Singed,Zac,Tristana,Xayah,Nautilus"
EUW1_6379972769,"Annie,Kassadin,Nautilus,Ornn,Jinx,Warwick,Lux,Azir,Fizz,Garen"
EUW1_6379822161,"Jax,Ezreal,Akali,Zed,Yuumi,Kennen,Ekko,Viego,Xayah,Thresh"
EUW1_6379790776,"Irelia,Bel'Veth,Akali,Xayah,Rakan,Poppy,Kayn,Syndra,Ashe,Thresh"
EUW1_6379754281,"Irelia,Nidalee,Katarina,Zeri,Rell,Warwick,Viego,Ornn,Xayah,Rakan"
EUW1_6379724616,"Ornn,Kha'Zix,Karma,Ezreal,Nautilus,Gwen,Xin Zhao,Alistar,Xayah,Pyke"
EUW1_6379683538,"Illaoi,Kha'Zix,Akali,Jinx,Lulu,Yone,Udyr,Singed,Xayah,Pyke"
EUW1_6379593323,"Malphite,Rakan,Vladimir,Xayah,Lee Sin,Annie,Kha'Zix,Sylas,Caitlyn,Lux"
EUW1_6379561539,"Olaf,Hecarim,Malzahar,Zeri,Yuumi,Tahm Kench,Kha'Zix,Orianna,Xayah,Pantheon"
EUW1_6378275919,"Gragas,Bel'Veth,Tristana,Xayah,Blitzcrank,Kennen,Zed,Lee Sin,Aphelios,Thresh"
EUW1_6378148098,"Yone,Udyr,Ahri,Lucian,Milio,Malphite,Zac,Tryndamere,Aphelios,Lulu"
EUW1_6378140730,"Sion,Shyvana,Ahri,Lucian,Milio,Dr. Mundo,Zac,Vex,Jinx,Lulu"
EUW1_6398135762,"Yasuo,Jarvan IV,Gragas,Xayah,Rell,K'Sante,Hecarim,Udyr,Aphelios,Thresh"
EUW1_6386555221,"Kennen,Kha'Zix,Zeri,Nautilus,Bard,Vladimir,Vi,Orianna,Aphelios,Thresh"
EUW1_6386526962,"Vladimir,Fiddlesticks,Tristana,Jinx,Nautilus,Jarvan IV,K'Sante,Jayce,Ezreal,Rakan"
EUW1_6386489385,"K'Sante,Kha'Zix,Zeri,Ahri,Alistar,Gwen,Ezreal,Fiddlesticks,Irelia,Blitzcrank"
EUW1_6385417240,"Heimerdinger,Gragas,Yone,Jinx,Nautilus,Sion,Kha'Zix,Sylas,Varus,Annie"
EUW1_6385386544,"Gragas,Lee Sin,Qiyana,Vayne,Blitzcrank,Irelia,Kha'Zix,Syndra,Zeri,Thresh"
EUW1_6385351194,"Warwick,Vi,Ahri,Xayah,Rakan,Poppy,Kha'Zix,Rumble,Jinx,Karma"
EUW1_6385273337,"Irelia,Maokai,Annie,Vayne,Thresh,Olaf,Kha'Zix,Cassiopeia,Zeri,Lulu"
EUW1_6385248680,"Yone,Wukong,Lissandra,Twitch,Sona,Bel'Veth,Nocturne,Viktor,Jinx,Senna"
EUW1_6384041815,"Rumble,Jarvan IV,LeBlanc,Xayah,Leona,Jayce,Nautilus,Ezreal,Ahri,Karma"
EUW1_6384008463,"Gnar,Kha'Zix,Galio,Karthus,Nautilus,Darius,Graves,Ryze,Xayah,Rakan"
EUW1_6383938541,"Fiora,Rumble,Aurelion Sol,Lucian,Milio,Riven,Hecarim,Orianna,Syndra,Elise"
EUW1_6383892487,"Fiora,Kayn,Galio,Samira,Pyke,Warwick,Elise,Cassiopeia,Aphelios,Thresh"
EUW1_6383845087,"Sion,Viego,Annie,Xayah,Rakan,Tryndamere,Elise,Tristana,Kalista,Pyke"
EUW1_6383802850,"Irelia,Lee Sin,Pyke,Senna,Seraphine,Mordekaiser,Kha'Zix,Annie,Draven,Rakan"
EUW1_6382356705,"Garen,Gragas,Akali,Jinx,Tahm Kench,Gwen,Elise,Zed,Ezreal,Pyke"
EUW1_6382317302,"Elise,Gragas,Yasuo,Aphelios,Blitzcrank,Annie,Kindred,Syndra,Jinx,Rell"
EUW1_6382274760,"K'Sante,Kha'Zix,Ahri,Xayah,Rakan,Gwen,Rumble,Qiyana,Zeri,Nautilus"
EUW1_6381213837,"Akshan,Kha'Zix,Ahri,Kai'Sa,Nautilus,Malphite,Wukong,Diana,Ezreal,Vel'Koz"
EUW1_6381161080,"Gnar,Nocturne,Ezreal,LeBlanc,Annie,Elise,Gragas,Jayce,Jinx,Rakan"
